YEAR,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1906,3.3,2.3,3.8,7.7,12.4,14.2,16.7,16.9,13.3,11.7,7.6,-0.2
1907,1.5,0.4,4.6,7.4,12.5,13.6,13.9,15.5,13.7,11.3,5.6,3.1
1908,-1.2,3.3,3.4,5.9,13,16.2,16.6,15,13.4,9.8,4.3,1
1909,0.6,0.3,3,8.5,11.3,13,14.5,16.2,13,11,3.9,3.1
1910,3.3,4,5.3,7.8,12.5,16,15.1,16.1,13.3,10.4,3.4,5.4
1911,0.8,3.3,5.2,7.3,13.7,14.5,18.6,19.5,14.6,9.3,5.8,5.3
1912,1.8,4.2,7.4,8.5,11.8,15.1,18.3,13.9,10.4,7.8,5.1,5.4
1913,2.4,3.3,6.9,8.7,12.5,14.1,14.5,15.1,13.7,10.9,8.3,3.7
1914,-0.6,5.8,5.9,10.2,11.4,14.1,17.6,17.3,13.5,9.7,4.9,4.9
1915,2.8,3,3.8,7.4,12.5,15.9,15.6,15.6,13,7.6,2.6,5.2
1916,5.7,2.6,4.4,8.7,13.2,12,15.2,16.2,13.2,10.1,5.8,2.6
1917,-1,-1.8,1.8,4.5,14.9,17.9,16.7,16.2,14.6,7.8,7.1,-0.3
1918,2.8,4,4.6,8.1,14,13.2,16,15.9,13.1,9.2,4.2,5.9
1919,1.9,0.5,4,6.2,13.7,14.5,13.8,16.2,14.6,6.8,1.7,3.6
1920,4,5.3,7.4,9.3,13,15.5,16.3,14.3,13.3,8.3,3.1,2.1
1921,6,2.9,6.7,8.6,13.4,14.6,18.3,16.9,14.2,12.8,1,3
1922,0.2,1.5,4.1,5.9,13.7,15,15.1,15,12.3,6,4.7,4.5
1923,3.7,3.1,6.5,7.5,10.2,11.2,18.7,15.6,12.9,10.7,3,0.3
1924,0.2,0.1,3.2,6.5,13.4,14.8,16.1,14.2,13.9,10.4,4.8,3.8
1925,3.7,4.7,3.3,8,13.7,15,18,16.2,11.5,9.7,2.6,1.6
1926,2.1,6.4,5.7,9.8,10.4,13.5,17.5,16.3,15.4,8,6.8,2.5
1927,3.7,2.7,6.5,7.7,11.2,13,16.8,16.6,13.9,10.2,4.1,-1.3
1928,3.5,4.6,4.5,8.1,10.6,13.8,17.4,16,12.6,9.6,7.3,2.1
1929,-1.7,-5.6,3.9,5.3,12.8,13.7,17,16.5,16.1,10,6.1,5.2
1930,4.8,1.4,5,8.7,11.6,17.5,15.9,16.3,13.8,10.1,7.1,2.2
1931,2.4,1,2.4,7.1,13.7,15.4,16.5,15.6,11.5,8.7,6.7,2.7
1932,4,1.1,3,7,12.1,14.8,17.3,18.9,14.7,9.2,5.3,3.4
